company_name,company_category,description,tag_list,founded_at,country,state,region,funding_total_usd,funded_at,funded_year,funded_quarter,cb_url,homepage_url
Bigpoint,games_video,developer and provider of online games,"online-games, browser-games, browsergames, browser-based-online-games, free-to-play, game-portal, publisher, content-provider, developer, games, mmo, mmog",1/1/2002,DEU,,Hamburg,460488000,6/9/2008,6/30/1905,2008-Q2,/company/bigpoint,http://www.bigpoint.com
Fotolia,advertising,Royalty-free stock photography,"stockphotos, digitalimages, microstockhouses, photos",1/1/2005,USA,NY,New York,225000000,5/1/2009,7/1/1905,2009-Q2,/company/fotolia,http://us.fotolia.com
Celframe,software,Product Software Company,"office-suite, free-anti-virus, arun-pudur, security, software, erp, crm, mobile, tablet, os, alternative, free-av, download-manager, microsoft-office, windows, iphone, blackberry, android, live-chat, marketing, salesforce, accounting, contact-manager",10/9/1998,MYS,,Kuala Lumpur,173000000,2/19/2005,6/27/1905,2005-Q1,/company/celframe,http://www.celframe.com
Practice Fusion,health,"Free,Web-based Electronic Health Records","free-emr, free-ehr, certified-emr, certified-ehr, emr-certification, healthcare, health-care, healthcareit, health-care-it, emr, electronic-medical-records, ehr, electronic-health-records, phr, personal-health-records, physician, physicians, physician-sol",7/10/2005,USA,CA,SF Bay,140019998,1/6/2010,7/2/1905,2010-Q1,/company/practice-fusion,http://www.practicefusion.com/careers
Elance,web,Online Employment Platform,"talent, employment, outsource, hire, manage, pay, php-programmers, mysql-developers, online-employment-report, freelance, future-of-work",1/1/1998,USA,CA,SF Bay,94828397,2/1/2000,6/22/1905,2000-Q1,/company/elance,http://www.elance.com
Inside Secure.,software,open-standard contactless payment,,1/1/1995,FRA,,Aix en Provence,94734880,12/11/2007,6/29/1905,2007-Q4,/company/inside-secure-2,http://www.insidesecure.com
WildTangent,games_video,cross-device games company,"games, online-games, video-games, online-advertising",1/1/1998,USA,WA,Seattle,84000000,11/1/2007,6/29/1905,2007-Q4,/company/wildtangent,http://www.wildtangent.com/Corporate
OpenX,advertising,OpenX,"ad-server, ad-serving, ad-exchange, yield-optimization, content-valuation",5/1/2008,USA,CA,Los Angeles,75511200,6/1/2007,6/29/1905,2007-Q2,/company/openx,http://openx.com
Kaltura,software,Open Source Video Platform,"kaltura, video, collaborative, media, videowiki, wiki, mashup, open-source, video-platform, remix, video-editing, php, drupal, cms",10/1/2006,USA,NY,New York,69100000,5/1/2007,6/29/1905,2007-Q2,/company/kaltura,http://corp.kaltura.com
AlienVault,enterprise,"Unified Security Management, SIEM","ossim, siem, open-source, security, compliance, ids, ips, vulnerability-scanning, flows, pci, threat-detection, threat-intelligence, asset-discovery, behavioral-monitoring, vulnerability-assessment",3/7/2007,USA,CA,SF Bay,62900035,6/16/2010,7/2/1905,2010-Q2,/company/alienvault,http://www.alienvault.com
Talend,analytics,Open source integration software,,9/1/2005,USA,CA,SF Bay,61580000,7/16/2007,6/29/1905,2007-Q3,/company/talend,http://www.talend.com
Novariant,other,Precision machine control,location-and-machine-control-solutions-hands-free-steering-of-farm-machinery,1/1/1994,USA,CA,SF Bay,60500000,10/31/2008,6/30/1905,2008-Q4,/company/novariant,http://www.novariant.com
Proofpoint,software,Email Security and Data Loss,"email-security, email-archiving",6/1/2002,USA,CA,SF Bay,59000000,2/26/2008,6/30/1905,2008-Q1,/company/proofpoint,http://www.proofpoint.com
Eucalyptus Systems,enterprise,Open source private and hybrid clouds,"open-source, cloud-computing, hybrid-cloud, private-cloud, on-premise-cloud, infrastructure-as-a-service",1/1/2009,USA,CA,Santa Barbara,55500000,4/29/2009,7/1/1905,2009-Q2,/company/eucalyptus-systems-inc,http://www.eucalyptus.com
Orient Green Power,cleantech,renewable energy,"fossil-fuel, environment, renewable-energy",1/1/2007,SGP,,Chennai,55000000,11/26/2008,6/30/1905,2008-Q4,/company/orient-green-power,http://www.orientgreenpower.com/home.asp
Capella Photonics,network_hosting,Networks,"wavelength-selective-switch-wss, reconfigurable-optical-adddrop-multiplexers-roadm, optical-cross-connect-oxc",1/1/2000,USA,CA,SF Bay,52499595,3/15/2007,6/29/1905,2007-Q1,/company/capella,http://www.capellainc.com
Intune Networks,network_hosting,Telecom Equipment Design,"optical-burst-switching, opst, tunable-lasers, sub-wavelength, dynamic-networks, infinite-possiblities",1/1/1999,IRL,,Dublin,50250000,10/2/2009,7/1/1905,2009-Q4,/company/intune-networks,http://www.intunenetworks.com
Akorri Networks,software,cross-domain performance software,,1/1/2005,USA,MA,Boston,48730000,9/10/2007,6/29/1905,2007-Q3,/company/akorri,http://www.akorri.com
SpiralFrog,games_video,,"zucchero, music, free",1/1/2004,USA,NY,New York,45000000,1/1/2007,6/29/1905,2007-Q1,/company/spiralfrog,http://www.spiralfrog.com
IP Commerce,network_hosting,Open commerce network,"commerce, network, software",1/1/2005,USA,CO,Denver,44028672,4/1/2008,6/30/1905,2008-Q2,/company/ip-commerce,http://www.ipcommerce.com
oDesk,web,Online workplace,"online-work, hiring, employment, staffing, jobs, freelancing, remote-work, virtual-work, crowdsourcing",1/1/2005,USA,CA,SF Bay,44000000,4/25/2006,6/28/1905,2006-Q2,/company/odesk,https://www.odesk.com
RingCentral,messaging,phone system integration ,"business-phone-service, voip, phone, toll-free-numbers, 800-numbers, internet-fax, office, mobile",1/1/2003,USA,CA,SF Bay,44000000,9/1/2007,6/29/1905,2007-Q3,/company/ringcentral,http://www.ringcentral.com
Jaspersoft,software,open source business software,"business-intelligence, reporting, dashboards, analytics, open-source",1/1/2001,USA,CA,SF Bay,43500000,12/10/2008,6/30/1905,2008-Q4,/company/jaspersoft,http://www.jaspersoft.com
MySQL,enterprise,Opensource Database Solution,"database, opensource, lamp, databaseserver",,USA,CA,SF Bay,40800000,2/1/2006,6/28/1905,2006-Q1,/company/mysql,http://www.mysql.com
UniversityNow,education,Education & Technology Venture,"education, technology, college, freemium, consumer",1/1/2010,USA,CA,SF Bay,40500000,6/21/2012,7/4/1905,2012-Q2,/company/universitynow,http://www.unow.com
Zango,games_video,,"games, videos, downloads, free, adware",1/1/1999,USA,WA,Seattle,40000000,3/1/2004,6/26/1905,2004-Q1,/company/zango,http://zango.com
MyBuys,advertising,Cross-Channel Personalization,"personalization, mobile, social, recommendations, email, ads, remarketing, display, media",1/1/2006,USA,CA,SF Bay,38300000,2/21/2007,6/29/1905,2007-Q1,/company/mybuys,http://www.mybuys.com
Vindicia,analytics,SaaS Marketing & Billing,"marketing, crm, billing, saas-billing, marketing-automation, freemium, subscriptions-billing, subscription-billing, recurring-billing, billing-system, billing-solutions, billing-software, saas, online-business-models, saas-marketing, fraud-management, cha",1/1/2003,USA,CA,SF Bay,37600000,3/31/2008,6/30/1905,2008-Q1,/company/vindicia,http://www.vindicia.com
Platform Solutions,hardware,Open Mainframe computers,,1/1/1999,USA,CA,SF Bay,37000000,11/27/2007,6/29/1905,2007-Q4,/company/platform-solutions,http://www.platformsolutions.com
StyleTread,fashion,,"shoes, online, footwear, free-delivery, styles, sizes, australia",11/9/2010,AUS,,Sydney Olympic Park,36450000,3/28/2012,7/4/1905,2012-Q1,/company/styletread,http://www.styletread.com.au
Laszlo Systems,messaging,Web and mobile user experience solutions,"unified-communications, applications, web, mobile, user-experience, cross-applications, cross-devices, social, android, communications",1/1/2000,USA,CA,SF Bay,36390000,3/6/2008,6/30/1905,2008-Q1,/company/laszlosystems,http://www.laszlosystems.com
StrongView,enterprise,email and cross-channel marketing,"cross-channel-marketing, moblie-marketing, email-marketing, esp, social-media, display, retargeting, saas, on-premise",1/1/2002,USA,CA,SF Bay,36100000,7/13/2009,7/1/1905,2009-Q3,/company/strongmail,http://www.strongview.com
BlueCava,advertising,Cross-Screen Marketing,"device-identification, online-advertising, targeted-advertising, fraud, risk",1/1/2010,USA,CA,Los Angeles,31257259,10/21/2011,7/3/1905,2011-Q4,/company/bluecava,http://www.bluecava.com
Symbian Foundation,mobile,Open Source Mobile OS,mobile-platforms,6/24/2008,GBR,,London,30839600,11/2/2010,7/2/1905,2010-Q4,/company/symbian,http://www.symbian.org
fring Ltd,mobile,VoIP Solutions for Carriers & Enterprise,"mvoip, voip, mobile, skype, google-talk, msn, messenger, im, free-mobile-calls, free, wifi, 3g, sip, twitter, icq, aim, yahoo, add-on, api, open-api, facebook, orkut, gmail",5/10/2006,,,unknown,30000000,8/1/2007,6/29/1905,2007-Q3,/company/fring,http://www.fring.com
Guvera,games_video,Advertiser-supported free content site,"branded-entertainment, free-content",1/1/2008,AUS,,Australia - Other,30000000,1/1/2008,6/30/1905,2008-Q1,/company/guvera,https://www.guvera.com
Flock,web,free social web browser,"webbrowser, mozilla, social, browser, platform, innovative, transformative, disruptive, dynamic",1/1/2005,USA,CA,SF Bay,28300000,1/1/2005,6/27/1905,2005-Q1,/company/flock,http://flock.com
Netbiscuits,mobile,Mobile Web Development Platform,"mobile-web, cloud-platform, adaptive-web-technology, responsive-design, mobile-web-solutions, cloud-solutions, mobile-development, cross-platfrom, html5, css, web-development",1/1/2000,DEU,,Kaiserslautern,27000000,1/1/2007,6/29/1905,2007-Q1,/company/netbiscuits,http://www.netbiscuits.com
Boxee,software,Open source social media,"tv, tv-media",1/1/2004,ISR,,Tel Aviv,26500000,11/18/2008,6/30/1905,2008-Q4,/company/boxee,http://www.boxee.tv
Flat World Knowledge,software,Open College Textbooks,"books, free-books, online-books, college",1/1/2007,USA,NY,Irvington,26200000,3/24/2009,7/1/1905,2009-Q1,/company/flat-world-knowledge,http://www.flatworldknowledge.com
Nimbuzz,mobile,"Mobile messaging, VoIP and Social","messaging-app, calling-app, instant-messaging, social-networks, im, messaging, voip, file-sending, chat, free, mobile, mobile-voip, sip, mih, mangrove",5/5/2006,NLD,,Capelle a/d IJssel,25000000,6/1/2007,6/29/1905,2007-Q2,/company/nimbuzz,http://www.nimbuzz.com
Yola,web,Free Websites,"website-creator, site-creator, small-business, sitebuilder, website, synthasite, silicon-cape, siliconcape",3/1/2007,USA,CA,SF Bay,25000000,11/1/2007,6/29/1905,2007-Q4,/company/yola,http://www.yola.com
Wave Accounting,software,finance tools for small biz,"accounting, online, saas, free, small-business, freelancer, cloud, application, software, payroll, mobile, invoicing, checks, cheques, receipts, personal-accounting, web-apps, tools",11/16/2010,CAN,,Toronto,24557478,5/15/2011,7/3/1905,2011-Q2,/company/wave-accounting,http://www.waveapps.com
OpenGamma,software,Open Source Risk Platform,"financial-services, open-source",8/1/2009,GBR,,London,23150000,8/1/2009,7/1/1905,2009-Q3,/company/opengamma,http://www.opengamma.com
SnagFilms,social,Free Movies On Demand,"online-streaming, movies, online-video, ad-supported, video-platform, entertainment, film, apps, documentary, video, watch-movies, watch-free-movies, stream-movies",7/15/2008,USA,DC,Washington DC,23000000,1/16/2011,7/3/1905,2011-Q1,/company/snagfilms,http://snagfilms.com
Integrate,software,Marketing Software and Media Services,"marketing-technology, marketing-software, media-services, performance-marketing, cross-channel-marketing",4/1/2010,USA,AZ,Phoenix,22250000,12/14/2010,7/2/1905,2010-Q4,/company/integrate,http://integrate.com
ForgeRock,enterprise,Open source identity middleware,,2/1/2010,NOR,,Lysaker,22000000,3/2/2012,7/4/1905,2012-Q1,/company/forgerock,http://www.forgerock.com
Virtual Computer,software,Data loss prevention,"client-side-vdi, idv, intelligent-desktop-virtualization, desktop-virtualization, vdi, virtual-desktop-infrastructure, nxtop, lenovo, intel",1/1/2007,USA,MA,Boston,21000000,1/26/2009,7/1/1905,2009-Q1,/company/virtual-computer,http://www.virtualcomputer.com
Chartboost,games_video,Technology platform for games,"iphone, ios, app-store, apps, games, gaming, advertising, monetization, cross-promotion",2/1/2011,USA,CA,SF Bay,21000000,10/1/2011,7/3/1905,2011-Q4,/company/chartboost,http://www.chartboost.com
LimeLife,news,Cross-platform digital media for women,,6/1/2004,USA,CA,SF Bay,20900000,3/28/2006,6/28/1905,2006-Q1,/company/limelife,http://www.limelife.com
Vericept,software,compliance and data loss software,,1/1/1999,USA,CO,Denver,20500000,7/15/2008,6/30/1905,2008-Q3,/company/vericept,http://www.vericept.com
Drawbridge,advertising,Cross device advertising,"mobile, advertising, targeting, cross-device",11/1/2010,USA,CA,SF Bay,20500000,5/11/2012,7/4/1905,2012-Q2,/company/drawbridge,http://drawbrid.ge
Vontu,software,data loss prevention software,,1/1/2001,USA,CA,SF Bay,20000000,8/11/2006,6/28/1905,2006-Q3,/company/vontu,http://www.vontu.com
