company_name,company_category,description,tag_list,founded_at,country,state,region, funding_total_usd ,funded_at,funded_year,funded_quarter,CB_URL,homepage_url
"MongoDB, Inc.",software,Leading NoSQL Database,"cloud-computing, paas, platform-as-a-service, cloud, nosql, mongodb, open-source",11/1/2007,USA,NY,New York," 231,100,000 ",7/21/2008,2008,2008-Q3,http://www.crunchbase.com/company/mongodb-inc,http://www.mongodb.com
SugarCRM,software,CRM software company,"crm, opensource",4/1/2004,USA,CA,SF Bay," 134,891,549 ",1/1/2008,2008,2008-Q1,http://www.crunchbase.com/company/sugarcrm,http://sugarcrm.com
Pentaho,analytics,Powerful Analytics Made Easy,"big-data, data-visualization, business-intelligence, open-source, reporting, analytics, dashboards, data-integration, predictive-analytics, weka, kettle, mondrian",1/1/2004,USA,FL,Orlando," 71,995,394 ",10/30/2012,2012,2012-Q4,http://www.crunchbase.com/company/pentaho,http://www.pentaho.com
Jive Software,software,Social Business Software,"jivesoftware, clearspace, collaborationsoftware, openfire, forumsoftware, social, sharepoint, socialproductivity, wiki",2/7/2001,USA,CA,SF Bay," 69,426,794 ",8/1/2007,2007,2007-Q3,http://www.crunchbase.com/company/jive-software,http://www.jivesoftware.com
Kaltura,software,Open Source Video Platform,"kaltura, video, collaborative, media, videowiki, wiki, mashup, open-source, video-platform, remix, video-editing, php, drupal, cms",10/1/2006,USA,NY,New York," 69,100,000 ",5/1/2007,2007,2007-Q2,http://www.crunchbase.com/company/kaltura,http://corp.kaltura.com
Appcelerator,enterprise,Mobile Enterprise Platform,"mobile, mobile-enterprise-platform, open-source, titanium, enterprise-mobility, mobile-saas-platform, mobile-cloud-platform",9/1/2006,USA,CA,SF Bay," 68,881,020 ",12/1/2008,2008,2008-Q4,http://www.crunchbase.com/company/appcelerator,http://appcelerator.com
SpikeSource,software,software certification company,,1/1/2004,USA,CA,SF Bay," 68,000,000 ",5/1/2005,2005,2005-Q2,http://www.crunchbase.com/company/spikesource,http://www.spikesource.com
AlienVault,security,"Unified Security Management, SIEM","ossim, siem, open-source, security, compliance, ids, ips, vulnerability-scanning, flows, pci, threat-detection, threat-intelligence, asset-discovery, behavioral-monitoring, vulnerability-assessment",3/7/2007,USA,CA,SF Bay," 66,400,035 ",6/16/2010,2010,2010-Q2,http://www.crunchbase.com/company/alienvault,http://www.alienvault.com
Rapid7,software,Risk Management Software,,1/1/2000,USA,MA,Boston," 61,000,000 ",9/17/2008,2008,2008-Q3,http://www.crunchbase.com/company/rapid7,http://www.rapid7.com
EnterpriseDB,enterprise,Relational Database Management System,"enterprise-software, database, open-source, postgres, postgresql, oracle, mysql, rdbms, data-management, business-intelligence, data-warehousing",3/1/2004,USA,MA,Boston," 56,600,000 ",9/7/2005,2005,2005-Q3,http://www.crunchbase.com/company/enterprisedb,http://www.enterprisedb.com
Eucalyptus Systems,enterprise,Open source private and hybrid clouds,"open-source, cloud-computing, hybrid-cloud, private-cloud, on-premise-cloud, infrastructure-as-a-service",1/1/2009,USA,CA,Santa Barbara," 55,500,000 ",4/29/2009,2009,2009-Q2,http://www.crunchbase.com/company/eucalyptus-systems-inc,http://www.eucalyptus.com
WANdisco,software,Distributed Computing,"hadoop, hadoop-ha, cloudera, horton-works, subversion, svn, open-source, multisite, clustering, replication, mirroring, ubersvn",11/1/2005,USA,CA,SF Bay," 54,789,777 ",6/1/2012,2012,2012-Q2,http://www.crunchbase.com/company/wandisco-2,http://www.wandisco.com
Black Duck Software,software,Products for software development,"open-source-compliance, open-source-management, software-development-collaboration, software-license-management",1/1/2002,USA,MA,Boston," 50,500,000 ",7/26/2004,2004,2004-Q3,http://www.crunchbase.com/company/black-duck-software,http://www.blackducksoftware.com
Zenoss,software,Systems Management Software,"open-source, commercial, monitoring-software, systems-management",1/1/2005,USA,MD,Washington DC," 45,632,042 ",1/22/2008,2008,2008-Q1,http://www.crunchbase.com/company/zenoss,http://www.zenoss.com
Jaspersoft,software,open source business software,"business-intelligence, reporting, dashboards, analytics, open-source",1/1/2001,USA,CA,SF Bay," 43,500,000 ",12/10/2008,2008,2008-Q4,http://www.crunchbase.com/company/jaspersoft,http://www.jaspersoft.com
Sonatype,software,Leader in Component Lifecycle Management,"apache-maven, open-source, central-repository, hudson, software-development, nexus",1/1/2008,USA,MD,Washington DC," 40,900,000 ",9/13/2010,2010,2010-Q3,http://www.crunchbase.com/company/sonatype,http://sonatype.com
XenSource,software,,,1/1/2004,USA,CA,SF Bay," 38,000,000 ",10/31/2006,2006,2006-Q4,http://www.crunchbase.com/company/xensource,
SnapLogic,enterprise,The Cloud Integration Company,"data-integration, open-source, etl, mashups, ria, web-2-0",1/1/2006,USA,CA,SF Bay," 34,800,000 ",10/29/2009,2009,2009-Q4,http://www.crunchbase.com/company/snaplogic,http://www.snaplogic.com
Vuze,software,,,5/1/2005,USA,CA,SF Bay," 34,000,000 ",12/1/2006,2006,2006-Q4,http://www.crunchbase.com/company/vuze,http://vuze.com
