company_name,company_category,founded_at,country,state,region,funding_round_type,raised_amount_usd,participants,investor_name,funded_at,funded_year,funded_quarter
OpenX,advertising,5/1/2008,USA,CA,Los Angeles,series-a,5000000,4,First Round Capital,6/1/2007,2007,2007-Q2
OpenX,advertising,5/1/2008,USA,CA,Los Angeles,series-a,5000000,4,Index Ventures,6/1/2007,2007,2007-Q2
OpenX,advertising,5/1/2008,USA,CA,Los Angeles,series-a,5000000,4,Mangrove Capital Partners,6/1/2007,2007,2007-Q2
OpenX,advertising,5/1/2008,USA,CA,Los Angeles,series-a,5000000,4,O'Reilly AlphaTech Ventures,6/1/2007,2007,2007-Q2
37signals,public_relations,1/1/1999,USA,IL,Chicago,series-a,,1,Bezos Expeditions,7/1/2006,2006,2006-Q3
Nimbuzz,mobile,5/5/2006,NLD,,Capelle a/d IJssel,series-a,10000000,3,HV Holtzbrinck Ventures,6/1/2007,2007,2007-Q2
Nimbuzz,mobile,5/5/2006,NLD,,Capelle a/d IJssel,series-a,10000000,3,Mangrove Capital Partners,6/1/2007,2007,2007-Q2
Nimbuzz,mobile,5/5/2006,NLD,,Capelle a/d IJssel,angel,,1,Mangrove Capital Partners,12/1/2005,2005,2005-Q4
fring Ltd,mobile,5/10/2006,,,unknown,series-b,7000000,4,North Bridge Venture Partners,8/1/2007,2007,2007-Q3
fring Ltd,mobile,5/10/2006,,,unknown,series-b,7000000,4,Pitango Venture Capital,8/1/2007,2007,2007-Q3
fring Ltd,mobile,5/10/2006,,,unknown,series-b,7000000,4,VenFin,8/1/2007,2007,2007-Q3
fring Ltd,mobile,5/10/2006,,,unknown,series-b,7000000,4,Veritas Venture Partners,8/1/2007,2007,2007-Q3
Flock,web,1/1/2005,USA,CA,SF Bay,angel,,2,Bessemer Venture Partners,1/1/2005,2005,2005-Q1
Flock,web,1/1/2005,USA,CA,SF Bay,angel,,2,Catamount Ventures,1/1/2005,2005,2005-Q1
Flock,web,1/1/2005,USA,CA,SF Bay,series-a,,2,Bessemer Venture Partners,3/1/2005,2005,2005-Q1
Flock,web,1/1/2005,USA,CA,SF Bay,series-a,,2,Catamount Ventures,3/1/2005,2005,2005-Q1
Flock,web,1/1/2005,USA,CA,SF Bay,series-b,3300000,1,Bessemer Venture Partners,11/1/2005,2005,2005-Q4
Flock,web,1/1/2005,USA,CA,SF Bay,series-c+,10000000,1,Shasta Ventures,6/1/2006,2006,2006-Q2
Zango,games_video,1/1/1999,USA,WA,Seattle,series-a,40000000,1,Spectrum Equity,3/1/2004,2004,2004-Q1
LimeLife,news,6/1/2004,USA,CA,SF Bay,series-b,10000000,4,US Venture Partners,3/28/2006,2006,2006-Q1
LimeLife,news,6/1/2004,USA,CA,SF Bay,series-b,10000000,4,Rustic Canyon Partners,3/28/2006,2006,2006-Q1
LimeLife,news,6/1/2004,USA,CA,SF Bay,series-b,10000000,4,i-Hatch Ventures,3/28/2006,2006,2006-Q1
LimeLife,news,6/1/2004,USA,CA,SF Bay,series-b,10000000,4,Monitor Ventures,3/28/2006,2006,2006-Q1
LimeLife,news,6/1/2004,USA,CA,SF Bay,series-a,5000000,4,Rustic Canyon Partners,8/1/2005,2005,2005-Q3
LimeLife,news,6/1/2004,USA,CA,SF Bay,series-a,5000000,4,US Venture Partners,8/1/2005,2005,2005-Q3
LimeLife,news,6/1/2004,USA,CA,SF Bay,series-a,5000000,4,i-Hatch Ventures,8/1/2005,2005,2005-Q3
LimeLife,news,6/1/2004,USA,CA,SF Bay,series-a,5000000,4,Monitor Ventures,8/1/2005,2005,2005-Q3
OMGPOP,games_video,1/1/2006,USA,NY,New York,angel,,4,Baseline Ventures,5/1/2007,2007,2007-Q2
OMGPOP,games_video,1/1/2006,USA,NY,New York,angel,,4,SV Angel,5/1/2007,2007,2007-Q2
Webs,web,6/1/2001,USA,MD,Washington DC,series-a,12000000,3,Columbia Capital,2/9/1998,1998,1998-Q1
Webs,web,6/1/2001,USA,MD,Washington DC,series-a,12000000,3,Novak Biddle Venture Partners,2/9/1998,1998,1998-Q1
oDesk,web,1/1/2005,USA,CA,SF Bay,series-a,6000000,3,Sigma Partners,4/25/2006,2006,2006-Q2
oDesk,web,1/1/2005,USA,CA,SF Bay,series-a,6000000,3,Globespan Capital Partners,4/25/2006,2006,2006-Q2
oDesk,web,1/1/2005,USA,CA,SF Bay,series-a,6000000,3,SV Angel,4/25/2006,2006,2006-Q2
