company_name,company_category,description,tag_list,founded_at,country,state,region,funding_total_usd,funded_at,funded_year,funded_quarter,cb_url,homepage_url
SurveyMonkey,software,Online Survey Builder,"surveys, survey-builder, information-gathering",1/1/1999,USA,CA,SF Bay,964999998,4/20/2009,2009,2009-Q2,/company/surveymonkey,http://www.surveymonkey.com
VMware,software,Virtualization Software,,1/1/1998,USA,CA,SF Bay,368500000,7/30/2007,2007,2007-Q3,/company/vmware,http://www.vmware.com
SunGard,software,Enterprise Software,,1/1/1982,USA,PA,Philadelphia,316000000,8/21/2009,2009,2009-Q3,/company/sungard,http://www.sungard.com
Highwinds,software,,cdn,1/1/2002,USA,FL,Orlando,311800000,3/11/2008,2008,2008-Q1,/company/highwinds,http://www.highwinds.com
Spotify,software,Music streaming,"music-streaming, streaming, music, cloud",1/1/2006,LUX,,Luxembourg,287779080,10/1/2008,2008,2008-Q4,/company/spotify,http://www.spotify.com
Dropbox,software,"Always have your stuff, wherever you are","techcrunch50, tc50, file-storage",6/1/2007,USA,CA,SF Bay,257200000,9/1/2007,2007,2007-Q3,/company/dropbox,http://www.dropbox.com
P2 Energy Solutions,software,Energy Data Oil Gas exploration,,1/1/1979,USA,CO,Denver,250000000,6/17/2008,2008,2008-Q2,/company/p2-energy-solutions,http://www.p2energysolutions.com
Xero,software,online accounting system,"online-accounting, accounting-software, small-business-accounting, cloud-accounting, bookkeeping, financial, invoicing, business, money, saas, banking, collaboration, crm, payroll-software, personal-finance, mobile-accounting",7/1/2006,NZL,,Wellington,244195300,11/29/2012,2012,2012-Q4,/company/xero,http://xero.com
ExactTarget,software,on-demand email marketing,"email-marketing, marketing-automation",12/1/2000,USA,IN,Indianapolis,238209999,5/6/2009,2009,2009-Q2,/company/exacttarget,http://www.exacttarget.com
"MongoDB, Inc.",software,Leading NoSQL Database,"cloud-computing, paas, platform-as-a-service, cloud, nosql, mongodb, open-source",11/1/2007,USA,NY,New York,231100000,7/21/2008,2008,2008-Q3,/company/mongodb-inc,http://www.mongodb.com
SolarWinds,software,Network Management Software,,1/1/1999,USA,TX,Austin,217500000,2/5/2007,2007,2007-Q1,/company/solarwinds,http://www.solarwinds.com
ACTIVE Network,software,Cloud-based activity & participant mgmt,,8/1/1999,USA,CA,San Diego,213900000,9/1/1999,1999,1999-Q3,/company/activenetwork,http://www.ACTIVEnetwork.com
1C Company,software,,"gaming, video-games",1/1/1991,RUS,,Moscow,200000000,10/3/2011,2011,2011-Q4,/company/1c-company,http://1c.ru/eng
Xand,software,,,1/1/1999,USA,NY,New York,200000000,9/12/2013,2013,2013-Q3,/company/xand,http://xand.com
SilkRoad Technology,software,Social Talent Management Software,"talent-management, social-talent-management, hr-software, human-resources-software, onboarding, recruiting, performance-management, learning-management, hrms, hris, social-collaboration",1/1/2003,USA,IL,Chicago,178000000,1/1/2003,2003,2003-Q1,/company/silkroad-technology,http://www.silkroad.com
New Relic,software,SaaS Application Performance Management,"cloud, saas, application-performance-management",2/1/2008,USA,CA,SF Bay,174500000,4/1/2008,2008,2008-Q2,/company/new-relic,http://newrelic.com
